category,severity,check_name,object_type,object_name,details,recommendation
security,high,broad table grant,table grant,daily_summaries,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,daily_summaries,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,group_members,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,groups,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,profiles,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_overview,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,session_subject_totals,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,study_sessions,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subject_weekly_goals,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subject_weekly_goals,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subject_weekly_goals,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subject_weekly_goals,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subject_weekly_goals,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subject_weekly_goals,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subjects,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subjects,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subjects,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subjects,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subjects,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subjects,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subscriptions,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subscriptions,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subscriptions,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subscriptions,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subscriptions,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,subscriptions,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,tasks,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,tasks,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,tasks,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,tasks,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,tasks,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,tasks,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,user_subjects,Granted UPDATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,user_subjects,Granted INSERT to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,user_subjects,Granted DELETE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,user_subjects,Granted TRUNCATE to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,user_subjects,Granted REFERENCES to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,broad table grant,table grant,user_subjects,Granted TRIGGER to anon,Confirm this is intentional; prefer RLS + least privilege
security,high,function executable by anon,function grant,add_group_creator_as_admin,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,apply_streak_expiry_for_me,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,cleanup_deleted_tasks,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,create_group_with_creator,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,delete_current_user,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,find_group_by_invite_code,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,get_user_groups,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,handle_new_user,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,handle_session_completed,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,handle_task_completed_xp,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,refresh_leaderboards,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,regenerate_invite_code,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,request_join_group,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,set_updated_at,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,function executable by anon,function grant,update_group_member_count,anon has EXECUTE privilege,Confirm the function is safe for public access
security,high,security definer function,function,"add_group_creator_as_admin(p_group_id uuid, p_user_id uuid)",Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,apply_streak_expiry_for_me(),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,cleanup_deleted_tasks(),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,"create_group_with_creator(p_name text, p_description text, p_visibility group_visibility, p_requires_admin_approval boolean, p_join_password text)",Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,delete_current_user(),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,find_group_by_invite_code(p_code text),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,get_user_groups(p_user_id uuid),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,handle_new_user(),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,handle_session_completed(),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,handle_task_completed_xp(),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,refresh_leaderboards(),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,regenerate_invite_code(p_group_id uuid),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,"request_join_group(p_group_id uuid, p_password text)",Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
security,high,security definer function,function,update_group_member_count(),Function runs with elevated privileges,"Review carefully: validate auth checks, search_path, and least-privilege behavior"
summary,high,count by severity,summary,high,101,Use this to prioritize remediation
data quality,medium,updated_at without trigger,table,daily_summaries,Table has updated_at column but no trigger found,Consider a BEFORE UPDATE trigger to maintain updated_at automatically
performance,medium,low usage index,index,idx_group_members_group,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_group_members_status,"idx_scan=0, size=8192 bytes",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_groups_created_by,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_groups_invite_code,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_groups_member_count,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_profiles_username_unique,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_study_sessions_date_range,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_study_sessions_started_at,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_study_sessions_task,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_study_sessions_user_date,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_subject_weekly_goals_subject,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_subjects_deleted_at,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_subjects_global_deleted_at,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_subjects_owner_active,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_tasks_active,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_tasks_completed,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_tasks_deleted_at,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_tasks_status,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_tasks_status_filter,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_tasks_subject,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,idx_tasks_user_status_date,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,monthly_leaderboard_user_id_idx,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,profiles_level_idx,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,subjects_owner_id_idx,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,subjects_owner_name_unique,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,subjects_parent_subject_id_idx,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,user_subjects_subject_idx,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,weekly_leaderboard_user_id_idx,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
performance,medium,low usage index,index,yearly_leaderboard_user_id_idx,"idx_scan=0, size=16 kB",Review whether this index is useful or removable
security,medium,broad table grant,table grant,daily_summaries,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,daily_summaries,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,daily_summaries,Granted INSERT to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,daily_summaries,Granted UPDATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,daily_summaries,Granted DELETE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,daily_summaries,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,group_members,Granted INSERT to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,group_members,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,group_members,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,group_members,Granted UPDATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,group_members,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,group_members,Granted DELETE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,groups,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,groups,Granted INSERT to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,groups,Granted UPDATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,groups,Granted DELETE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,groups,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,groups,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,profiles,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,profiles,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,profiles,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,profiles,Granted DELETE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,profiles,Granted UPDATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,profiles,Granted INSERT to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_overview,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_overview,Granted INSERT to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_overview,Granted UPDATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_overview,Granted DELETE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_overview,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_overview,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_subject_totals,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_subject_totals,Granted INSERT to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_subject_totals,Granted UPDATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_subject_totals,Granted DELETE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_subject_totals,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,session_subject_totals,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,study_sessions,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,study_sessions,Granted UPDATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,study_sessions,Granted INSERT to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,study_sessions,Granted DELETE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,study_sessions,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,study_sessions,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subject_weekly_goals,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subject_weekly_goals,Granted UPDATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subject_weekly_goals,Granted INSERT to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subject_weekly_goals,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subject_weekly_goals,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subject_weekly_goals,Granted DELETE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subjects,Granted UPDATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subjects,Granted INSERT to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subjects,Granted DELETE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subjects,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subjects,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subjects,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subscriptions,Granted TRUNCATE to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subscriptions,Granted REFERENCES to authenticated,Confirm this is intentional; prefer RLS + least privilege
security,medium,broad table grant,table grant,subscriptions,Granted TRIGGER to authenticated,Confirm this is intentional; prefer RLS + least privilege
